sample_size,rnn_units,alpha,val_loss,train_metric,train_r2,train_mse,test_metric,test_r2,test_mse
2.0,2.0,0.03448275862068965,2.5473740606685172e-05,56.22562487828839,0.6802173853008606,2.561624459970653e-05,60.263839335732,0.6330839935074604,2.949155592851562e-05
2.0,29.0,0.5,1.391814862472529e-06,13.52674705518031,0.9807163613479676,1.4057095727462192e-06,17.892516660487093,0.9671623162704338,2.560434072890351e-06
2.0,58.0,1.0,1.9662482486637608e-07,5.497206517886268,0.9967110520542402,2.2388215307056628e-07,7.45762235217212,0.9937580598317418,4.676617578947031e-07
4.0,2.0,0.017241379310344827,2.644513733685017e-05,57.42691373024207,0.6667728564803799,2.648154048478992e-05,61.57949178959434,0.6173937075759742,3.0578859430300456e-05
4.0,12.0,0.10344827586206896,6.573256086994661e-06,29.1541981903413,0.9105778490187963,6.596299510458037e-06,34.705741813619454,0.8737120343925731,9.648745154999927e-06
4.0,116.0,1.0,5.7202871772688007e-08,2.9654167275928915,0.9989918763833892,7.667755071462909e-08,4.573721522353324,0.996892183923418,2.2226460345720703e-07
8.0,8.0,0.03448275862068965,1.2516823517216835e-05,40.177630466315925,0.8315160879740204,1.2629812415770356e-05,46.43117769033943,0.7781056782703135,1.727168552518813e-05
8.0,116.0,0.5,3.7119727380741097e-07,6.1040582875096465,0.9959585822607808,2.9519032291566034e-07,9.368744005210578,0.9900771150587642,7.374171817874795e-07
16.0,8.0,0.017241379310344827,1.90292648767354e-05,48.927388515817725,0.7532833247157591,1.8338890886585724e-05,55.18745268793212,0.6896693973426857,2.3918153216894786e-05
16.0,48.0,0.10344827586206896,4.033071490994189e-06,22.727459799898444,0.9447990535258328,3.9547799325458885e-06,29.579106127131855,0.9069388866581864,7.1691464415520875e-06
32.0,32.0,0.03448275862068965,9.788283023226539e-06,35.35568099192421,0.8672692855834948,9.653404527586639e-06,41.94296543980197,0.8157305091851698,1.4061173401798984e-05
64.0,32.0,0.017241379310344827,1.1831765732495116e-05,39.568370855564496,0.8340261909779049,1.1894962239681347e-05,46.47757102145454,0.7761815062010201,1.717134884007123e-05
64.0,192.0,0.10344827586206896,4.120037374377716e-06,23.128855829531478,0.9425234979293464,3.959294165842505e-06,31.07390021215061,0.8953646398341049,8.030512177400099e-06
128.0,128.0,0.03448275862068965,7.287384505616501e-05,93.8625870297034,0.11829925996429452,7.076981173898072e-05,95.0176891782321,0.09641238939089003,7.209086822406371e-05
256.0,128.0,0.017241379310344827,7.773363904561847e-05,100.06060504970276,-0.0012135796896209205,7.954825644510286e-05,100.12000331177704,-0.0024022874683348773,7.907527272072209e-05
16.0,16.0,0.03448275862068965,9.67562482401263e-06,34.972417860922704,0.8696275975315528,9.474197767396356e-06,41.0050597052572,0.8239162884517651,1.3444013626663244e-05
32.0,16.0,0.017241379310344827,1.775879354681819e-05,47.41968291114068,0.7658735895371297,1.7219960696411565e-05,54.13356426241569,0.7003423916073841,2.3048952259205202e-05
32.0,96.0,0.10344827586206896,4.0196114241553005e-06,22.928382544637152,0.9438958422976976,3.997667699315466e-06,30.12652188560842,0.9025532482259208,7.4766504867469425e-06
